Word,Frequency,Percentage,Length
<!,225,1.78,2
$I=H,129,1.02,4
$L=A,114,0.90,4
$H=1,94,0.74,4
$B=1,87,0.69,4
$L=B,82,0.65,4
$C=1>,77,0.61,5
$B=2,56,0.44,4
$F=z,49,0.39,4
$H=2,46,0.36,4
$C=2>,44,0.35,5
$F=a,38,0.30,4
$B=3,36,0.29,4
$B=4,34,0.27,4
$F=y,30,0.24,4
$F=b,26,0.21,4
$I=S,25,0.20,4
$Q=T,23,0.18,4
$Q=M,20,0.16,4
$H=1>,19,0.15,5
$I=B,19,0.15,4
$P=B,18,0.14,4
$F=c,18,0.14,4
$F=w,18,0.14,4
$F=x,18,0.14,4
$H=3>,18,0.14,5
$Q=A,16,0.13,4
$P=A,16,0.13,4
$F=d,16,0.13,4
$Q=C,16,0.13,4
$Q=D,16,0.13,4
$Q=E,16,0.13,4
$Q=F,16,0.13,4
$Q=G,16,0.13,4
$I=P,16,0.13,4
$P=C,15,0.12,4
$P=D,15,0.12,4
$P=E,14,0.11,4
$P=F,14,0.11,4
$Q=B,14,0.11,4
$H=4>,14,0.11,5
$H=3,14,0.11,4
$P=H,13,0.10,4
$P=I,13,0.10,4
$P=J,13,0.10,4
$P=L,13,0.10,4
$P=G,12,0.10,4
$P=M,12,0.10,4
$P=O,12,0.10,4
$P=P,12,0.10,4
$I=Z,12,0.10,4
$H=4,12,0.10,4
$X=M>,12,0.10,5
$Q=O,12,0.10,4
$P=N,11,0.09,4
o,11,0.09,1
$P=K,10,0.08,4
y,10,0.08,1
$I=C,10,0.08,4
$Q=I,10,0.08,4
$Q=Q,10,0.08,4
$Q=S,10,0.08,4
$C=1,9,0.07,4
s,9,0.07,1
?,8,0.06,1
$Q=H,8,0.06,4
$I=A,8,0.06,4
$Q=K,8,0.06,4
$B=5,8,0.06,4
$C=4>,8,0.06,5
d,7,0.06,1
okeody,7,0.06,6
$I=T,6,0.05,4
$H=5,6,0.05,4
r,6,0.05,1
$Q=J,6,0.05,4
otaly,6,0.05,5
$Q=N,6,0.05,4
$C=3>,6,0.05,5
$C=5>,6,0.05,5
$C=X>,6,0.05,5
$X=C>,5,0.04,5
f,5,0.04,1
l,5,0.04,1
okal,5,0.04,4
okaly,5,0.04,5
oky,5,0.04,3
otedy,5,0.04,5
otoldy,5,0.04,6
okeod,4,0.03,5
otal,4,0.03,4
otoly,4,0.03,5
okary,4,0.03,5
okeos,4,0.03,5
okol,4,0.03,4
$F=e,4,0.03,4
$F=v,4,0.03,4
$B=6,4,0.03,4
#,3,0.02,1
$X=O>,3,0.02,5
